Runde,Pakete_erwartet,Pakete_erkannt,Praeambel_Score,Drift_Mittel_Hz,LDPC_Summe,Bitfehler_Summe
1,1,1,15,-16651,152,93
2,1,0,5,,0,0
3,1,1,16,-795,22,0
4,1,1,16,-839,12,0
5,1,1,16,-981,7,0
6,1,1,16,-733,19,0
7,1,1,16,-611,3,0
8,1,1,16,-695,0,0
9,1,1,16,-770,13,0
10,1,1,16,-977,8,0
11,1,1,16,-780,11,0
12,1,1,16,-1109,18,0
13,1,1,16,-841,27,0
14,1,1,16,-1050,10,0
15,1,1,16,-895,21,0
16,1,1,16,-844,21,0
17,1,1,16,-788,13,0
18,1,1,16,-783,17,0
19,1,1,16,-844,32,0
20,1,1,16,-813,4,0
21,1,1,16,-674,11,0
22,1,1,16,-940,36,0
23,1,1,16,-715,33,0
24,1,1,16,-439,59,2
25,1,1,16,-953,38,0
26,1,0,6,,0,0
27,1,1,16,-783,40,0
28,1,1,15,-12786,178,97
29,1,1,16,-689,17,0
30,1,1,16,-889,57,2
31,1,1,16,-836,38,0
32,1,1,16,-811,20,0
33,1,1,16,-753,21,0
34,1,1,16,-692,111,16
35,1,1,16,-590,28,0
36,1,1,16,-712,152,85
37,1,1,16,-780,19,0
38,1,1,16,-827,20,0
39,1,1,16,-951,7,0
40,1,1,16,-860,33,0
41,1,1,16,-712,17,0
42,1,1,16,-987,16,0
43,1,1,16,-849,17,0
44,1,1,16,-970,20,0
45,1,1,16,-801,12,0
46,1,1,16,-899,26,0
47,1,1,15,2365,169,81
48,1,1,16,-1135,174,87
49,1,1,14,-16020,196,154
50,1,1,16,-780,39,1
51,1,1,16,-956,102,4
52,1,1,16,-890,26,0
53,1,1,16,-886,19,0
54,1,1,16,-832,9,0
55,1,1,16,-912,38,0
56,1,1,16,-901,28,0
57,1,1,16,-895,27,0
58,1,1,16,-756,200,31
59,1,2,16,5774,227,168
60,1,1,16,-674,148,24
61,1,1,16,-1137,153,32
62,1,1,12,-7541,154,96
63,1,0,3,,0,0
64,1,1,10,-4024,177,154
65,1,1,14,-28969,166,133
66,1,1,13,-19024,154,130
67,1,1,10,-10165,182,123
68,1,1,16,-762,126,13
69,1,1,16,-780,0,0
70,1,1,16,-727,18,0
71,1,1,16,-871,11,0
72,1,1,16,-683,0,0
73,1,1,16,-930,18,0
74,1,1,16,-750,0,0
75,1,1,16,-840,3,0
76,1,1,16,-780,24,0
77,1,1,16,-787,14,0
78,1,1,16,-1030,0,0
79,1,1,16,-854,12,0
80,1,1,16,-1035,26,0
81,1,1,16,-778,0,0
82,1,1,16,-787,5,0
83,1,1,16,-916,8,0
84,1,1,16,-903,0,0
85,1,1,16,-711,8,0
86,1,1,16,-787,10,0
87,1,1,16,-936,0,0
88,1,1,16,-853,0,0
89,1,1,16,-901,1,0
90,1,1,16,-918,0,0
91,1,1,16,-916,3,0
92,1,1,16,-879,4,0
93,1,1,16,-813,0,0
94,1,1,16,-764,11,0
95,1,1,16,-935,20,0
96,1,1,16,-810,0,0
97,1,1,16,-810,12,0
98,1,1,16,-766,13,0
99,1,1,16,-667,0,0
100,1,1,16,-839,0,0
101,1,1,16,-867,24,0
102,1,1,16,-778,0,0
103,1,1,16,-740,0,0
104,1,1,16,-777,51,4
105,1,1,16,-847,13,0
106,1,1,16,-935,0,0
107,1,1,16,-966,31,0
108,1,1,16,-846,0,0
109,1,1,16,-754,0,0
110,1,1,16,-659,13,0
111,1,1,16,-980,9,0
112,1,1,16,-786,0,0
113,1,1,16,-653,18,0
114,1,1,16,-1029,0,0
115,1,1,16,-934,0,0
116,1,1,16,-870,3,0
117,1,1,16,-687,15,0
118,1,1,16,-759,17,0
119,1,1,16,-741,8,0
120,1,1,16,-834,8,0
121,1,1,16,-832,0,0
122,1,1,16,-893,0,0
123,1,1,16,-910,21,0
124,1,1,16,-870,9,0
125,1,1,16,-1029,30,0
126,1,1,16,-474,71,8
127,1,1,16,-706,16,0
128,1,1,16,-1067,5,0
129,1,1,16,-748,33,0
130,1,1,16,-838,29,0
131,1,1,16,-1242,0,0
132,1,1,16,-861,48,9
133,1,1,16,-16064,177,79
134,1,1,16,-853,20,0
135,1,1,16,-805,16,0
136,1,1,16,-726,30,0
137,1,1,16,-990,4,0
138,1,1,16,-1084,8,0
139,1,1,16,-918,8,0
140,1,1,16,-837,5,0
141,1,1,16,-710,15,0
142,1,1,16,-1141,36,0
143,1,1,16,-933,6,0
144,1,1,16,-928,19,0
145,1,1,16,-795,32,0
146,1,1,16,-628,28,0
147,1,1,16,-712,8,0
148,1,1,15,1252,181,51
149,1,1,15,-14244,188,99
150,1,1,15,11264,164,61
151,1,1,16,-920,45,0
152,1,1,16,-1053,12,0
153,1,1,16,-791,9,0
154,1,1,16,-753,22,0
155,1,1,16,-737,18,0
156,1,1,16,-739,15,0
157,1,1,16,-1011,33,0
158,1,1,16,-610,49,0
159,1,1,16,-637,44,6
160,1,1,16,-945,19,0
161,1,1,16,-967,46,0
162,1,1,16,-950,46,0
163,1,1,16,-835,78,2
164,1,1,16,-1060,195,42
165,1,1,16,-1119,41,0
166,1,1,16,-23740,175,107
167,1,1,15,-1209,173,63
168,1,1,16,-734,189,19
169,1,1,16,-656,34,0
170,1,1,16,-2631,191,14
171,1,1,16,-943,41,0
172,1,1,16,-743,48,0
173,1,1,16,-980,43,0
174,1,0,5,,0,0
175,1,1,16,-1000,25,0
176,1,1,16,-813,20,0
177,1,1,16,-766,166,21
178,1,1,16,-760,20,0
179,1,1,16,-751,34,0
180,1,1,16,-993,24,0
181,1,1,16,-907,16,0
182,1,1,16,-647,41,0
183,1,1,16,-835,62,1
184,1,1,16,-992,11,0
185,1,1,16,-767,13,0
186,1,1,16,-785,36,0
187,1,1,16,-1120,8,0
188,1,1,16,-1034,15,0
189,1,1,16,-836,52,7
190,1,1,16,-760,26,0
191,1,1,16,-936,21,0
192,1,1,16,-798,38,0
193,1,1,16,-660,60,1
194,1,1,16,-699,10,0
195,1,1,16,-1126,33,0
196,1,1,16,-608,118,4
197,1,1,16,-823,7,0
198,1,1,16,-766,13,0
199,1,1,16,-1186,170,10
200,1,0,6,,0,0
