Runde,Paket_global,Paket_in_Runde,Praeambel_Score,Drift_Hz,LDPC_korrigiert,Bitfehler
188,205,2,10,12314,174,0
189,206,1,16,-891,0,0
190,207,1,16,-896,7,0
191,208,1,16,-1117,23,0
192,209,1,16,-975,0,0
193,210,1,16,-937,0,0
194,211,1,16,-940,0,0
195,212,1,16,-1010,0,0
196,213,1,16,-955,14,0
197,214,1,16,-978,0,0
198,215,1,16,-1045,0,0
