Runde,Paket_global,Paket_in_Runde,Praeambel_Score,Drift_Hz,LDPC_korrigiert,Bitfehler
1,1,1,16,-821,0,0
2,2,1,16,-791,0,0
3,3,1,16,-852,8,0
4,4,1,16,-772,0,0
5,5,1,10,-7161,152,151
6,6,1,16,-708,38,0
7,7,1,16,-935,21,0
8,8,1,16,-745,0,0
9,9,1,16,-746,13,0
10,10,1,16,-708,16,0
11,11,1,16,-858,102,7
12,12,1,16,-29336,165,135
14,13,1,16,-647,28,0
15,14,1,16,-700,38,0
16,15,1,16,-2748,167,49
17,16,1,16,-857,62,4
18,17,1,13,28631,159,128
19,18,1,16,-1025,86,12
20,19,1,16,-860,0,0
21,20,1,16,-779,18,0
22,21,1,16,-913,0,0
23,22,1,16,-786,0,0
24,23,1,16,-806,19,0
25,24,1,16,-793,0,0
26,25,1,16,-929,0,0
27,26,1,16,-900,35,0
28,27,1,16,-693,0,0
29,28,1,16,-721,3,0
30,29,1,16,-683,23,0
31,30,1,16,-909,0,0
32,31,1,16,-772,0,0
33,32,1,16,-745,18,0
34,33,1,16,-909,0,0
35,34,1,16,-885,0,0
36,35,1,16,-783,21,0
37,36,1,16,-752,0,0
38,37,1,16,-769,0,0
39,38,1,16,-949,38,0
40,39,1,16,-841,0,0
41,40,1,16,-750,0,0
42,41,1,16,-704,25,0
43,42,1,16,-790,0,0
44,43,1,16,-828,0,0
45,44,1,16,-724,30,0
46,45,1,16,-844,0,0
47,46,1,16,-738,0,0
48,47,1,16,-820,24,0
49,48,1,16,-809,0,0
50,49,1,16,-905,0,0
51,50,1,16,-755,27,0
52,51,1,16,-788,0,0
53,52,1,16,-755,0,0
54,53,1,16,-793,17,0
55,54,1,16,-739,5,0
56,55,1,16,-800,0,0
57,56,1,16,-902,11,0
58,57,1,16,-730,0,0
59,58,1,16,-837,0,0
60,59,1,16,-901,3,0
61,60,1,16,-818,0,0
62,61,1,16,-802,0,0
63,62,1,16,-984,17,0
64,63,1,16,-828,0,0
65,64,1,16,-874,2,0
66,65,1,16,-811,5,0
67,66,1,16,-762,7,0
68,67,1,16,-559,1,0
69,68,1,16,-778,19,0
70,69,1,16,-808,0,0
71,70,1,16,-803,0,0
72,71,1,16,-807,19,0
73,72,1,16,-755,0,0
74,73,1,16,-823,0,0
75,74,1,16,-765,72,6
76,75,1,16,-886,0,0
77,76,1,16,-755,0,0
78,77,1,16,-796,27,0
79,78,1,16,-794,12,0
80,79,1,16,-879,5,0
81,80,1,16,-818,20,0
82,81,1,16,-689,9,0
83,82,1,16,-779,2,0
84,83,1,16,-941,97,3
85,84,1,16,-662,0,0
86,85,1,16,-704,8,0
87,86,1,16,-685,30,0
88,87,1,16,-826,0,0
89,88,1,16,-905,0,0
90,89,1,16,-803,27,0
91,90,1,16,-897,13,0
92,91,1,16,-941,8,0
93,92,1,16,-796,23,0
94,93,1,16,1134,171,37
95,94,1,11,13087,162,156
96,95,1,10,-7375,149,155
97,96,1,16,-1013,40,0
98,97,1,16,-917,37,0
99,98,1,16,16767,164,81
100,99,1,16,-916,0,0
101,100,1,16,-848,0,0
102,101,1,16,-740,6,0
103,102,1,16,-771,0,0
104,103,1,16,-812,0,0
105,104,1,16,-859,17,0
106,105,1,16,-768,7,0
107,106,1,16,-852,14,0
108,107,1,16,-744,21,0
109,108,1,16,-851,3,0
110,109,1,16,-1015,15,0
111,110,1,16,-785,0,0
112,111,1,16,-849,27,0
113,112,1,14,-15740,192,94
114,113,1,16,-896,8,0
115,114,1,16,-785,28,0
116,115,1,15,-827,171,54
117,116,1,16,-1078,35,0
118,117,1,16,-665,25,6
119,118,1,16,-931,8,0
120,119,1,16,-947,33,0
122,120,1,16,-905,7,0
123,121,1,16,-943,0,0
124,122,1,16,-774,5,0
125,123,1,16,-783,0,0
126,124,1,16,-809,0,0
127,125,1,16,-840,6,0
128,126,1,16,-866,0,0
129,127,1,16,-737,0,0
130,128,1,16,-804,3,0
131,129,1,16,-754,0,0
132,130,1,16,-812,0,0
133,131,1,16,-843,13,0
134,132,1,16,-812,0,0
135,133,1,16,-795,3,0
136,134,1,16,-830,17,0
137,135,1,16,-803,0,0
138,136,1,16,-805,0,0
139,137,1,16,-773,24,0
140,138,1,16,-864,0,0
141,139,1,16,-701,4,0
142,140,1,16,-800,23,0
143,141,1,16,-834,0,0
144,142,1,16,-815,0,0
145,143,1,16,-797,21,0
146,144,1,16,-820,0,0
147,145,1,16,-755,0,0
148,146,1,16,-794,21,0
149,147,1,16,-753,0,0
150,148,1,16,-828,0,0
151,149,1,16,-813,14,0
152,150,1,16,-839,0,0
152,151,2,10,2478,166,169
153,152,1,16,-716,0,0
154,153,1,16,-806,18,0
155,154,1,16,-835,0,0
156,155,1,16,-818,0,0
157,156,1,16,-705,9,0
158,157,1,16,-927,0,0
159,158,1,16,-779,0,0
160,159,1,16,-744,14,0
161,160,1,16,-696,0,0
162,161,1,16,-912,0,0
163,162,1,16,-824,13,0
164,163,1,16,-837,0,0
165,164,1,16,-794,0,0
166,165,1,16,-830,17,0
167,166,1,16,-798,0,0
168,167,1,16,-741,0,0
169,168,1,16,-757,15,0
170,169,1,16,-816,0,0
171,170,1,16,-804,0,0
172,171,1,16,-856,22,0
173,172,1,16,-778,0,0
174,173,1,16,-800,0,0
175,174,1,16,-922,16,0
176,175,1,16,-890,0,0
177,176,1,16,-835,0,0
178,177,1,16,-748,19,0
179,178,1,16,-771,0,0
180,179,1,16,-717,0,0
181,180,1,16,-696,18,0
182,181,1,16,-798,0,0
183,182,1,16,-781,0,0
184,183,1,16,-866,21,0
185,184,1,16,-785,0,0
186,185,1,16,-853,0,0
187,186,1,16,-797,12,0
188,187,1,16,-831,7,0
189,188,1,16,-776,0,0
190,189,1,16,-979,19,0
191,190,1,16,-878,5,0
192,191,1,16,-805,0,0
193,192,1,16,-820,14,0
194,193,1,16,-857,0,0
195,194,1,16,-916,0,0
196,195,1,16,-743,22,0
197,196,1,16,-786,0,0
198,197,1,16,-853,0,0
199,198,1,16,-906,17,0
