Runde,Paket_global,Paket_in_Runde,Praeambel_Score,Drift_Hz,LDPC_korrigiert,Bitfehler
2,1,1,16,844,21,0
2,2,2,10,17544,174,143
3,3,1,16,874,0,0
4,4,1,16,859,0,0
6,5,1,16,799,0,0
7,6,1,16,886,0,0
8,7,1,16,824,0,0
9,8,1,16,843,9,0
10,9,1,16,834,0,0
11,10,1,16,824,0,0
12,11,1,16,917,26,0
13,12,1,16,974,0,0
14,13,1,16,933,0,0
15,14,1,16,849,1,0
16,15,1,16,878,0,0
17,16,1,16,838,0,0
18,17,1,16,809,0,0
19,18,1,16,867,21,0
20,19,1,16,937,0,0
21,20,1,16,893,0,0
22,21,1,16,862,10,0
23,22,1,16,937,0,0
24,23,1,16,886,0,0
25,24,1,16,867,0,0
26,25,1,16,930,3,0
27,26,1,16,850,0,0
28,27,1,16,837,0,0
29,28,1,16,862,16,0
30,29,1,16,826,0,0
31,30,1,16,889,0,0
32,31,1,16,839,13,0
33,32,1,16,862,0,0
34,33,1,16,915,0,0
35,34,1,16,806,13,0
36,35,1,16,854,0,0
37,36,1,16,937,0,0
38,37,1,16,846,1,0
39,38,1,16,823,3,0
40,39,1,16,805,0,0
41,40,1,16,778,0,0
42,41,1,16,752,20,0
43,42,1,16,915,0,0
44,43,1,16,831,5,0
45,44,1,16,870,25,0
47,45,1,16,759,24,0
48,46,1,16,882,32,0
49,47,1,16,863,16,0
50,48,1,16,1017,0,0
51,49,1,16,899,43,0
52,50,1,15,-3082,176,76
54,51,1,16,892,167,49
56,52,1,10,10702,160,150
59,53,1,14,17602,172,134
60,54,1,11,-15892,163,110
61,55,1,16,946,164,49
63,56,1,16,754,23,0
64,57,1,16,-3043,159,61
66,58,1,10,12470,183,149
67,59,1,15,16455,160,114
68,60,1,15,500,163,96
69,61,1,12,-2526,178,106
70,62,1,16,1219,107,6
71,63,1,11,-1624,163,156
73,64,1,11,-45427,166,148
74,65,1,13,-21323,176,143
75,66,1,16,13178,182,84
76,67,1,16,960,20,0
77,68,1,16,829,27,0
78,69,1,16,679,13,0
79,70,1,15,-1507,176,123
80,71,1,11,-8175,153,124
82,72,1,16,6878,166,74
83,73,1,16,918,34,0
84,74,1,16,-958,157,65
85,75,1,16,851,0,0
86,76,1,16,861,0,0
87,77,1,16,762,21,0
88,78,1,16,884,17,0
89,79,1,16,1037,13,0
90,80,1,16,780,42,0
91,81,1,10,29607,143,156
92,82,1,16,866,14,0
93,83,1,16,1060,17,0
94,84,1,10,-86654,188,147
95,85,1,15,-3563,180,104
96,86,1,16,1050,170,35
97,87,1,16,772,78,4
98,88,1,15,-15980,160,118
99,89,1,16,934,165,50
100,90,1,15,-4309,159,85
101,91,1,16,587,159,66
103,92,1,16,6587,171,78
105,93,1,16,478,81,21
107,94,1,11,-18057,144,139
108,95,1,16,584,166,26
109,96,1,16,819,192,37
110,97,1,12,16821,166,131
111,98,1,12,1738,180,101
112,99,1,16,452,166,36
113,100,1,16,842,60,7
113,101,2,10,9867,159,142
117,102,1,14,1216,141,90
118,103,1,14,633,179,87
119,104,1,16,653,123,13
121,105,1,16,801,89,6
121,106,2,10,-20692,157,168
122,107,1,15,-8752,165,83
123,108,1,15,-25095,151,107
124,109,1,15,-5240,190,73
125,110,1,10,8904,147,113
126,111,1,16,840,0,0
127,112,1,16,665,27,0
128,113,1,16,1311,9,0
129,114,1,16,1059,57,0
130,115,1,11,-8357,179,124
131,116,1,16,1009,48,0
132,117,1,12,7800,156,115
133,118,1,16,1211,164,60
134,119,1,16,10186,164,100
135,120,1,14,9854,187,142
140,121,1,16,1124,148,57
141,122,1,16,1088,10,0
142,123,1,16,-4391,181,82
147,124,1,16,4566,156,77
148,125,1,16,14965,170,89
149,126,1,16,1421,182,76
150,127,1,16,830,22,0
151,128,1,16,715,14,0
152,129,1,16,-8384,170,121
153,130,1,16,518,170,79
154,131,1,16,788,44,0
155,132,1,16,851,69,4
155,133,2,10,-5626,151,146
156,134,1,16,646,177,47
157,135,1,15,28381,191,131
158,136,1,10,-45118,168,166
159,137,1,16,306,171,58
160,138,1,16,8732,189,79
161,139,1,16,-9847,178,77
163,140,1,16,638,42,0
164,141,1,16,722,195,48
165,142,1,16,921,174,35
166,143,1,16,-3033,199,70
167,144,1,16,670,24,0
168,145,1,16,824,73,7
169,146,1,16,954,201,43
170,147,1,16,818,169,22
171,148,1,16,961,200,48
172,149,1,16,802,167,41
173,150,1,16,1008,156,27
174,151,1,16,669,97,13
175,152,1,16,903,41,0
176,153,1,16,984,12,0
177,154,1,16,712,15,0
178,155,1,16,1217,21,0
179,156,1,16,-8603,159,110
180,157,1,16,655,53,0
181,158,1,14,567,182,67
182,159,1,16,1137,30,0
183,160,1,16,838,27,0
184,161,1,15,-5283,170,49
185,162,1,14,12398,173,96
186,163,1,16,808,79,9
186,164,2,11,35273,172,164
187,165,1,16,966,24,0
188,166,1,16,665,21,0
188,167,2,11,12097,184,162
190,168,1,16,1243,0,0
191,169,1,16,878,6,0
192,170,1,16,1084,29,0
193,171,1,16,827,0,0
194,172,1,16,1027,0,0
195,173,1,16,957,26,0
196,174,1,16,766,6,0
197,175,1,16,836,5,0
198,176,1,16,918,11,0
199,177,1,16,843,10,0
200,178,1,16,901,0,0
