Runde,Pakete_erwartet,Pakete_erkannt,Praeambel_Score,Drift_Mittel_Hz,LDPC_Summe,Bitfehler_Summe
1,1,1,16,-893,0,0
2,1,0,7,,0,0
3,1,1,16,-769,0,0
4,1,1,16,-872,0,0
5,1,1,16,-840,1,0
6,1,1,16,-777,9,0
7,1,1,16,-864,0,0
8,1,1,16,-836,0,0
9,1,1,16,-819,12,0
10,1,1,16,-807,0,0
11,1,1,16,-882,0,0
12,1,1,16,-925,19,0
13,1,1,16,-823,0,0
14,1,1,16,-841,0,0
15,1,0,6,,0,0
16,1,1,16,-813,0,0
17,1,1,16,-865,0,0
18,1,1,16,-818,0,0
19,1,1,16,-941,0,0
20,1,1,16,-901,0,0
21,1,1,16,-906,0,0
22,1,1,16,-835,19,0
23,1,1,16,-903,0,0
24,1,1,16,-911,0,0
25,1,1,16,-826,18,0
26,1,1,16,-794,0,0
27,1,1,16,-921,0,0
28,1,1,16,-868,0,0
29,1,1,16,-833,3,0
30,1,1,16,-887,0,0
31,1,1,16,-829,0,0
32,1,1,16,-806,24,0
33,1,1,16,-883,4,0
34,1,1,16,-814,0,0
35,1,1,16,-1070,8,0
36,1,1,16,-887,0,0
37,1,1,16,-870,0,0
38,1,1,16,-892,0,0
39,1,1,16,-926,0,0
40,1,1,16,-803,0,0
41,1,1,16,-899,0,0
42,1,1,16,-871,3,0
43,1,1,16,-821,0,0
44,1,1,16,-802,0,0
45,1,1,16,-944,5,0
46,1,1,16,-821,0,0
47,1,1,16,-877,0,0
48,1,1,16,-929,15,0
49,1,1,16,-899,0,0
50,1,1,16,-912,0,0
51,1,1,16,-861,4,0
52,1,1,16,-847,0,0
53,1,1,16,-748,0,0
54,1,1,16,-859,3,0
55,1,1,16,-807,5,0
56,1,1,16,-783,26,0
57,1,0,8,,0,0
58,1,1,11,-12153,159,126
59,1,1,15,51470,175,146
60,1,1,16,-967,22,0
61,1,1,16,-837,1,0
62,1,1,16,-901,0,0
63,1,1,16,-853,0,0
64,1,1,16,-765,3,0
65,1,1,16,-845,0,0
66,1,0,4,,0,0
67,1,1,16,-826,17,0
68,1,1,16,-895,0,0
69,1,1,16,-824,0,0
70,1,1,16,-841,26,0
71,1,1,16,-849,0,0
72,1,1,16,-777,0,0
73,1,1,16,-856,11,0
74,1,1,16,-886,0,0
75,1,0,7,,0,0
76,1,1,16,-840,3,0
77,1,1,16,-841,0,0
78,1,1,16,-918,0,0
79,1,1,16,-889,0,0
80,1,1,16,-855,17,0
81,1,1,16,-719,33,0
82,1,1,16,-855,7,0
83,1,1,16,-859,19,0
84,1,1,16,-960,21,0
85,1,1,16,-859,0,0
86,1,1,16,-879,28,0
87,1,1,16,-706,5,0
88,1,1,16,-810,9,0
89,1,1,16,-640,33,0
90,1,1,16,-911,0,0
91,1,1,16,-841,0,0
92,1,1,16,-856,12,0
93,1,1,16,-902,0,0
94,1,1,16,-800,0,0
95,1,1,16,-844,0,0
96,1,1,16,-841,2,0
97,1,1,16,-912,0,0
98,1,2,16,-11173,153,172
99,1,1,16,-846,9,0
100,1,1,16,-781,0,0
101,1,1,16,-851,0,0
102,1,1,16,-841,4,0
103,1,1,16,-839,0,0
104,1,1,16,-853,0,0
105,1,1,16,-731,18,0
106,1,1,16,-958,0,0
107,1,1,16,-878,0,0
108,1,1,16,-756,15,0
109,1,1,16,-838,0,0
110,1,1,16,-763,0,0
111,1,1,16,-831,19,0
112,1,1,16,-747,0,0
113,1,1,16,-799,0,0
114,1,1,16,-813,18,0
115,1,1,16,-849,0,0
116,1,1,16,-839,0,0
117,1,1,16,-840,6,0
118,1,1,16,-810,0,0
119,1,1,16,-882,0,0
120,1,1,16,-794,1,0
121,1,1,16,-739,0,0
122,1,1,16,-803,0,0
123,1,1,16,-725,6,0
124,1,1,16,-801,0,0
125,1,1,16,-806,0,0
126,1,1,16,-825,0,0
127,1,1,16,-827,0,0
128,1,1,16,-960,0,0
129,1,1,16,-889,2,0
130,1,1,16,-653,12,0
131,1,1,16,-804,0,0
132,1,1,16,-829,0,0
133,1,1,16,-742,18,0
134,1,1,16,-848,0,0
135,1,1,16,-912,4,0
136,1,1,16,-823,9,0
137,1,1,16,-992,0,0
138,1,1,16,-855,4,0
139,1,1,16,-825,15,0
140,1,1,16,-788,10,0
141,1,1,16,-807,4,0
142,1,1,16,-888,21,0
143,1,1,16,-855,0,0
144,1,1,16,-842,0,0
145,1,1,16,-773,6,0
146,1,2,16,16710,148,162
147,1,1,16,-883,0,0
148,1,0,5,,0,0
149,1,1,16,-701,0,0
150,1,1,16,-742,0,0
151,1,1,16,-806,3,0
152,1,1,16,-745,0,0
153,1,1,16,-805,0,0
154,1,1,16,-876,20,0
155,1,1,16,-869,0,0
156,1,1,16,-797,0,0
157,1,1,16,-914,22,0
158,1,1,16,-806,0,0
159,1,1,16,-768,0,0
160,1,1,16,-869,28,0
161,1,1,16,-864,12,0
162,1,1,16,-727,0,0
163,1,1,16,-761,10,0
164,1,1,16,-949,0,0
165,1,1,16,-730,11,0
166,1,1,16,-820,13,0
167,1,1,16,-777,5,0
168,1,1,16,-684,8,0
169,1,1,16,-16566,169,113
170,1,1,16,-589,19,0
171,1,1,16,-815,0,0
172,1,1,16,-915,19,0
173,1,1,16,-873,10,0
174,1,1,16,-896,175,18
175,1,1,16,-888,114,10
176,1,1,16,-857,39,0
177,1,1,16,-1034,14,0
178,1,1,16,-742,7,0
179,1,1,16,-820,0,0
180,1,1,16,-826,0,0
