Runde,Pakete_erwartet,Pakete_erkannt,Praeambel_Score,Drift_Mittel_Hz,LDPC_Summe,Bitfehler_Summe
1,1,0,6,,0,0
2,1,1,16,655,176,40
3,1,1,16,4685,164,107
4,1,1,16,650,154,51
5,1,1,16,6641,166,75
6,1,1,16,729,183,27
7,1,1,15,-2696,178,79
8,1,1,15,-2935,171,64
9,1,1,16,848,168,48
10,1,1,16,835,140,17
11,1,1,15,10590,189,89
12,1,1,16,-18358,172,111
13,1,1,16,6791,159,93
14,1,1,16,6689,157,72
15,1,1,15,14492,153,80
16,1,1,16,360,167,40
17,1,1,16,768,133,20
18,1,1,16,-18418,170,109
19,1,1,16,699,123,9
20,1,1,15,13071,166,104
21,1,1,16,1124,154,31
22,1,1,16,-6956,171,78
23,1,1,13,-10508,169,125
24,1,1,13,17381,131,127
25,1,1,15,841,178,65
26,1,1,12,24424,185,119
27,1,1,13,-20148,187,130
28,1,1,12,25741,153,117
29,1,1,11,8956,158,156
30,1,1,10,23146,177,162
31,1,1,16,-6918,160,136
32,1,1,16,25540,160,106
33,1,1,16,19847,160,138
34,1,1,14,34087,184,119
35,1,1,13,-8940,150,142
36,1,1,15,26284,152,140
37,1,1,16,1199,167,94
38,1,1,14,6569,160,90
39,1,1,14,3147,160,135
40,1,1,15,-55886,159,157
41,1,1,14,-24248,186,120
42,1,1,16,33156,159,114
43,1,1,14,679,164,83
44,1,1,15,1038,191,74
45,1,1,14,-14989,190,158
46,1,1,12,15688,164,103
47,1,0,6,,0,0
48,1,1,15,-8006,160,93
49,1,1,14,-17771,154,109
50,1,1,16,24757,180,139
51,1,1,15,-4171,188,94
52,1,1,10,-73082,169,169
53,1,0,9,,0,0
54,1,1,14,-14747,162,120
55,1,1,13,-31887,191,118
56,1,0,5,,0,0
57,1,0,5,,0,0
58,1,0,7,,0,0
59,1,0,6,,0,0
60,1,1,11,-14981,162,142
61,1,0,5,,0,0
62,1,1,10,6798,154,152
63,1,0,8,,0,0
64,1,0,8,,0,0
65,1,0,9,,0,0
66,1,0,5,,0,0
67,1,0,8,,0,0
68,1,1,10,8961,149,167
69,1,0,7,,0,0
70,1,0,7,,0,0
71,1,0,7,,0,0
72,1,1,11,35577,172,158
73,1,0,5,,0,0
