Runde,Paket_global,Paket_in_Runde,Praeambel_Score,Drift_Hz,LDPC_korrigiert,Bitfehler
3,1,1,11,41451,163,153
4,2,1,11,-20207,169,128
9,3,1,14,-4472,187,118
10,4,1,16,-678,44,0
11,5,1,16,-1074,12,0
12,6,1,16,-852,4,0
13,7,1,16,-752,120,8
14,8,1,16,-994,35,0
15,9,1,16,-707,157,12
16,10,1,16,-1075,162,15
17,11,1,16,-952,174,25
18,12,1,16,-769,52,0
19,13,1,16,-1143,181,57
20,14,1,16,-667,164,66
21,15,1,16,14575,173,97
22,16,1,16,-754,130,19
23,17,1,16,-707,191,56
24,18,1,16,-608,70,4
25,19,1,16,-970,26,0
26,20,1,16,-1090,12,0
27,21,1,16,-702,48,0
28,22,1,16,-569,26,0
29,23,1,16,-1015,30,0
30,24,1,16,-958,48,0
31,25,1,16,-848,37,0
32,26,1,16,-1292,43,0
33,27,1,16,-1030,45,0
34,28,1,16,-4798,171,54
35,29,1,16,-890,25,0
36,30,1,16,-945,25,0
37,31,1,16,-906,45,0
38,32,1,16,-863,18,0
39,33,1,16,-918,22,0
40,34,1,16,-885,27,0
41,35,1,16,-614,42,0
42,36,1,16,-963,12,0
42,37,2,10,10326,162,158
43,38,1,16,-862,16,0
44,39,1,16,-1036,46,0
45,40,1,16,-956,74,4
46,41,1,16,-1133,31,0
47,42,1,16,-737,39,0
48,43,1,16,-796,76,5
49,44,1,16,-1128,47,2
50,45,1,16,13435,161,66
51,46,1,16,-1000,81,4
52,47,1,16,-1069,28,0
53,48,1,16,-867,35,0
54,49,1,16,-1009,44,0
55,50,1,16,-611,66,4
56,51,1,16,-933,45,0
57,52,1,16,-732,28,0
58,53,1,16,-505,123,13
59,54,1,16,-774,35,0
60,55,1,16,-883,46,0
61,56,1,16,-817,32,0
62,57,1,16,-670,51,8
63,58,1,16,-700,160,25
64,59,1,16,-866,39,0
65,60,1,16,-848,97,9
66,61,1,16,-878,51,0
67,62,1,16,-747,18,0
68,63,1,16,-1025,73,9
69,64,1,16,-1028,162,42
70,65,1,16,-660,15,0
71,66,1,16,-997,30,0
72,67,1,16,-796,34,0
73,68,1,16,-1022,91,11
74,69,1,16,-870,46,0
75,70,1,16,-669,37,0
76,71,1,16,-840,81,4
77,72,1,13,-12343,181,88
78,73,1,14,14536,168,116
79,74,1,16,-1030,182,42
81,75,1,16,-1129,162,19
82,76,1,16,-579,78,12
83,77,1,16,-912,161,38
84,78,1,16,-815,184,24
85,79,1,16,-16349,180,78
86,80,1,15,9405,195,100
87,81,1,11,57111,205,140
88,82,1,16,-760,15,0
89,83,1,16,-472,182,28
90,84,1,16,1325,178,71
91,85,1,16,9132,216,92
92,86,1,11,37173,154,165
95,87,1,12,8849,152,120
96,88,1,16,-938,153,48
97,89,1,16,-832,50,0
98,90,1,16,-638,25,0
99,91,1,14,-13129,157,110
100,92,1,13,39156,167,161
104,93,1,10,-20713,160,140
106,94,1,11,-36509,172,154
108,95,1,11,18860,153,154
109,96,1,10,-36490,188,121
110,97,1,11,25048,173,119
112,98,1,11,-11014,164,124
114,99,1,10,-37363,173,138
115,100,1,12,35911,183,131
116,101,1,16,-12062,160,97
117,102,1,11,-22724,173,135
118,103,1,13,-10990,171,148
119,104,1,11,19418,162,118
120,105,1,15,31855,166,119
121,106,1,14,10803,154,131
122,107,1,10,-63589,154,111
123,108,1,13,18553,199,117
124,109,1,11,-5312,177,132
128,110,1,11,42989,187,147
137,111,1,10,-1124,172,180
143,112,1,16,-16501,178,101
144,113,1,16,-2828,179,68
145,114,1,16,-1004,55,0
146,115,1,16,-753,81,5
146,116,2,10,52481,160,154
147,117,1,16,-1123,56,0
148,118,1,16,-1228,55,0
149,119,1,16,-925,162,26
150,120,1,16,-2999,177,51
151,121,1,16,-1035,92,24
152,122,1,16,-868,46,0
153,123,1,16,-1059,57,8
154,124,1,16,-1085,38,0
155,125,1,16,-1000,152,24
156,126,1,15,-16811,165,111
157,127,1,16,-903,71,22
158,128,1,16,-1132,158,15
160,129,1,16,-1163,144,14
161,130,1,16,-627,171,34
162,131,1,16,-846,99,7
163,132,1,16,-686,120,22
164,133,1,16,-754,162,45
165,134,1,16,-628,182,33
166,135,1,16,-933,151,37
167,136,1,16,-664,146,27
168,137,1,16,-972,45,0
169,138,1,16,-579,119,13
170,139,1,16,-1065,155,36
171,140,1,16,-862,137,19
172,141,1,16,-410,180,39
173,142,1,16,-760,184,70
174,143,1,15,1071,49,0
175,144,1,16,-1046,55,0
176,145,1,15,-1037,176,40
177,146,1,16,-823,157,66
178,147,1,16,-789,205,21
179,148,1,16,-8470,176,86
180,149,1,16,-1080,160,51
181,150,1,15,8032,187,69
182,151,1,16,-648,164,18
183,152,1,16,-691,174,51
184,153,1,16,-877,186,18
185,154,1,15,-781,165,35
186,155,1,15,-5783,143,80
187,156,1,16,-769,107,27
188,157,1,16,-465,164,35
189,158,1,16,-11492,159,122
190,159,1,15,18143,177,86
191,160,1,16,-750,176,61
192,161,1,16,-892,170,82
193,162,1,16,-853,163,40
194,163,1,16,-870,157,48
195,164,1,16,-13922,173,82
196,165,1,16,-1731,168,60
197,166,1,16,-2932,167,62
198,167,1,16,-43832,176,138
199,168,1,16,-935,187,63
200,169,1,15,-1089,57,0
