Runde,Pakete_erwartet,Pakete_erkannt,Praeambel_Score,Drift_Mittel_Hz,LDPC_Summe,Bitfehler_Summe
1,1,1,15,-2848,182,103
2,1,1,15,776,140,137
3,1,1,16,-768,168,35
4,1,1,16,-1007,12,0
5,1,1,16,-796,0,0
6,1,1,16,-942,22,0
7,1,1,16,-1061,15,0
8,1,1,16,-908,7,0
9,1,1,16,-916,14,0
10,1,1,16,-1123,22,0
11,1,1,16,-859,0,0
12,1,1,16,-847,0,0
13,1,1,16,-819,7,0
14,1,1,16,-821,1,0
15,1,1,16,-856,0,0
16,1,1,16,-912,2,0
17,1,1,16,-923,6,0
18,1,1,16,-959,0,0
19,1,1,16,-881,0,0
20,1,1,16,-784,20,0
21,1,1,16,-896,39,0
22,1,0,6,,0,0
23,1,1,16,-735,21,0
24,1,1,16,-690,0,0
25,1,1,16,-888,0,0
26,1,1,16,-679,1,0
27,1,1,16,-896,15,0
28,1,1,16,-911,0,0
29,1,1,16,-794,16,0
30,1,1,16,-986,25,0
31,1,1,16,-999,7,0
32,1,1,16,-942,0,0
33,1,1,16,-868,16,0
34,1,1,16,-819,0,0
35,1,1,16,-838,0,0
36,1,1,16,-935,0,0
37,1,1,16,-873,0,0
38,1,1,16,-908,0,0
39,1,1,16,-922,0,0
40,1,1,16,-797,0,0
41,1,1,16,-907,0,0
42,1,1,16,-862,0,0
43,1,1,16,-825,17,0
44,1,1,16,-755,0,0
45,1,1,16,-829,0,0
46,1,1,16,-857,19,0
47,1,1,16,-854,0,0
48,1,1,16,-797,0,0
49,1,1,16,-858,11,0
50,1,1,16,-823,0,0
51,1,1,16,-869,0,0
52,1,1,16,-988,3,0
53,1,1,16,-874,9,0
54,1,1,16,-869,0,0
55,1,1,16,-777,2,0
56,1,1,16,-697,16,0
57,1,1,16,-839,7,0
58,1,1,16,-845,13,0
59,1,1,16,-820,14,0
60,1,1,16,-868,0,0
61,1,1,16,-706,0,0
62,1,1,16,-845,21,0
63,1,1,16,-814,0,0
64,1,1,16,-785,0,0
65,1,1,16,-842,6,0
66,1,1,16,-815,9,0
67,1,1,16,-840,0,0
68,1,1,16,-884,2,0
69,1,1,16,-875,19,0
70,1,1,16,-829,0,0
71,1,1,16,-916,0,0
72,1,1,16,-833,26,0
73,1,1,16,-776,0,0
74,1,1,16,-795,0,0
75,1,1,16,-808,4,0
76,1,1,16,-925,0,0
77,1,1,16,-818,0,0
78,1,1,16,-883,0,0
79,1,1,16,-948,7,0
80,1,1,16,-898,0,0
81,1,1,16,-816,0,0
82,1,1,16,-915,16,0
83,1,1,16,-944,0,0
