Runde,Pakete_erwartet,Pakete_erkannt,Praeambel_Score,Drift_Mittel_Hz,LDPC_Summe,Bitfehler_Summe
1,1,0,7,,0,0
2,1,0,9,,0,0
3,1,0,5,,0,0
4,1,0,5,,0,0
5,1,0,9,,0,0
6,1,1,16,806,0,0
7,1,1,16,697,13,0
8,1,1,16,784,42,0
9,1,1,16,839,0,0
10,1,1,16,743,0,0
11,1,1,16,810,14,0
12,1,1,16,794,0,0
13,1,1,16,772,0,0
14,1,1,16,999,81,4
15,1,1,16,938,13,0
16,1,1,16,849,0,0
17,1,1,16,904,0,0
18,1,1,16,872,25,0
19,1,1,16,923,0,0
20,1,1,16,798,21,0
21,1,1,16,858,21,0
22,1,1,16,891,36,0
23,1,1,16,854,0,0
24,1,1,16,594,17,0
25,1,1,16,599,34,0
26,1,1,16,781,0,0
27,1,1,16,778,16,0
28,1,1,16,835,12,0
29,1,1,16,860,0,0
30,1,1,16,918,0,0
31,1,1,16,825,21,0
32,1,2,16,22150,168,152
33,1,1,16,848,0,0
34,1,1,16,816,17,0
35,1,1,16,923,0,0
36,1,1,16,890,0,0
37,1,1,16,762,11,0
38,1,1,16,813,0,0
39,1,1,16,814,0,0
40,1,1,16,872,0,0
41,1,1,16,1033,0,0
42,1,1,16,904,0,0
43,1,1,16,762,8,0
44,1,1,16,870,14,0
45,1,1,16,777,0,0
46,1,1,16,789,0,0
47,1,1,16,914,35,0
48,1,2,16,7208,172,163
49,1,1,16,910,0,0
50,1,1,16,855,24,0
51,1,1,16,752,4,0
52,1,1,16,905,7,0
53,1,1,16,908,9,0
54,1,1,16,766,7,0
55,1,1,16,800,0,0
56,1,1,16,735,9,0
57,1,1,16,971,20,0
58,1,1,16,838,0,0
59,1,1,16,826,0,0
60,1,1,16,842,35,0
61,1,1,16,905,28,0
62,1,1,16,893,0,0
63,1,1,16,998,1,0
64,1,1,16,835,3,0
65,1,1,16,822,0,0
66,1,1,16,874,4,0
67,1,1,16,1017,6,0
68,1,1,16,773,0,0
69,1,1,16,785,0,0
70,1,1,16,792,31,0
71,1,1,16,844,0,0
72,1,1,16,861,0,0
73,1,1,16,990,4,0
74,1,1,16,818,19,0
75,1,1,16,844,21,0
76,1,1,16,724,7,0
77,1,1,16,955,31,0
78,1,1,16,926,10,0
79,1,1,16,937,0,0
80,1,1,16,904,13,0
81,1,1,16,810,5,0
82,1,1,16,834,0,0
83,1,1,16,870,0,0
84,1,1,16,868,37,0
85,1,1,16,880,0,0
86,1,1,16,717,5,0
87,1,1,16,693,44,0
88,1,1,16,739,18,0
89,1,1,16,487,17,0
90,1,1,16,893,21,0
