Runde,Paket_global,Paket_in_Runde,Praeambel_Score,Drift_Hz,LDPC_korrigiert,Bitfehler
3,1,1,10,-18960,179,164
4,2,1,16,-930,0,0
4,3,2,10,-61976,175,162
5,4,1,16,-960,0,0
6,5,1,16,-1021,0,0
6,6,2,10,9737,172,173
7,7,1,16,-905,19,0
8,8,1,16,-939,0,0
9,9,1,16,-1016,0,0
10,10,1,16,-889,0,0
11,11,1,16,-933,4,0
12,12,1,16,-866,5,0
13,13,1,16,-1049,0,0
14,14,1,16,-987,0,0
15,15,1,16,-851,0,0
15,16,2,11,18210,171,151
16,17,1,16,-927,14,0
17,18,1,16,-1025,0,0
18,19,1,16,-946,0,0
19,20,1,16,-1058,0,0
20,21,1,16,-916,2,0
20,22,2,11,-9023,157,156
21,23,1,16,-905,9,0
22,24,1,16,-982,0,0
23,25,1,16,-1048,0,0
24,26,1,16,-1083,0,0
25,27,1,16,-1027,11,0
27,28,1,16,-1042,0,0
28,29,1,16,-931,0,0
29,30,1,16,-1117,2,0
30,31,1,16,-977,23,0
31,32,1,16,-919,1,0
32,33,1,16,-892,0,0
33,34,1,16,-851,0,0
33,35,2,10,593,151,162
35,36,1,16,-923,19,0
36,37,1,16,-984,2,0
37,38,1,16,-1001,9,0
38,39,1,16,-1095,3,0
39,40,1,16,-989,0,0
40,41,1,16,-892,27,0
41,42,1,16,-1095,0,0
42,43,1,16,-926,0,0
43,44,1,16,-908,0,0
44,45,1,16,-888,0,0
45,46,1,16,-1018,29,0
46,47,1,16,-1147,0,0
47,48,1,16,-809,7,0
49,49,1,16,-1015,6,0
49,50,2,10,-30665,166,176
50,51,1,16,-1019,24,0
51,52,1,16,-875,9,0
52,53,1,16,-930,0,0
53,54,1,16,-960,0,0
54,55,1,16,-894,0,0
54,56,2,10,-26510,173,165
55,57,1,16,-941,16,0
55,58,2,10,-809,163,148
56,59,1,16,-972,0,0
57,60,1,16,-975,0,0
58,61,1,16,-906,0,0
59,62,1,16,-948,0,0
60,63,1,16,-967,19,0
61,64,1,16,-920,9,0
61,65,2,10,-48207,161,151
62,66,1,16,-951,4,0
63,67,1,16,-923,0,0
64,68,1,16,-1048,3,0
64,69,2,10,113122,162,168
65,70,1,16,-1047,14,0
66,71,1,16,-1034,4,0
67,72,1,16,-952,9,0
68,73,1,16,-911,5,0
69,74,1,16,-898,1,0
70,75,1,16,-1030,17,0
71,76,1,16,-1001,0,0
72,77,1,16,-1020,0,0
73,78,1,16,-1015,0,0
74,79,1,16,-788,1,0
75,80,1,16,-902,13,0
76,81,1,16,-1191,0,0
77,82,1,16,-976,0,0
77,83,2,10,20123,182,167
78,84,1,16,-901,0,0
79,85,1,16,-782,0,0
80,86,1,16,-1079,12,0
81,87,1,16,-928,0,0
82,88,1,16,-1048,0,0
83,89,1,16,-1107,0,0
84,90,1,16,-980,2,0
85,91,1,16,-866,17,0
86,92,1,16,-906,0,0
87,93,1,16,-1045,0,0
88,94,1,16,-849,0,0
88,95,2,10,-40889,175,162
89,96,1,16,-888,4,0
90,97,1,16,-876,8,0
91,98,1,16,-1020,0,0
92,99,1,16,-1016,0,0
93,100,1,16,-915,0,0
94,101,1,16,-990,10,0
95,102,1,16,-1020,10,0
96,103,1,16,-926,0,0
97,104,1,16,-940,0,0
98,105,1,16,-913,0,0
99,106,1,16,-1076,18,0
100,107,1,16,-907,0,0
101,108,1,16,-934,0,0
102,109,1,16,-1053,0,0
103,110,1,16,-1009,0,0
104,111,1,16,-1012,13,0
105,112,1,16,-997,0,0
106,113,1,16,-884,0,0
107,114,1,16,-905,0,0
108,115,1,16,-947,17,0
109,116,1,16,-1006,0,0
110,117,1,16,-1017,0,0
111,118,1,16,-1082,0,0
112,119,1,16,-980,0,0
113,120,1,16,-1046,24,0
114,121,1,16,-952,0,0
115,122,1,16,-997,0,0
116,123,1,16,-1119,0,0
117,124,1,16,-1099,2,0
118,125,1,16,-948,14,0
119,126,1,16,-1007,0,0
120,127,1,16,-857,0,0
121,128,1,16,-1013,3,0
122,129,1,16,-785,21,0
123,130,1,16,-965,2,0
124,131,1,16,-1009,0,0
125,132,1,16,-847,0,0
126,133,1,16,-896,10,0
127,134,1,16,-930,9,0
128,135,1,16,-956,0,0
129,136,1,16,-1026,3,0
130,137,1,16,-993,2,0
131,138,1,16,-855,10,0
132,139,1,16,-944,0,0
133,140,1,16,-944,0,0
134,141,1,16,-902,0,0
135,142,1,16,-950,21,0
136,143,1,16,-908,0,0
137,144,1,16,-1012,0,0
138,145,1,16,-877,0,0
139,146,1,16,-874,13,0
140,147,1,16,-1048,0,0
142,148,1,16,-935,0,0
143,149,1,16,-997,8,0
144,150,1,16,-1029,0,0
145,151,1,16,-1003,0,0
146,152,1,16,-989,0,0
147,153,1,16,-820,0,0
148,154,1,16,-935,11,0
149,155,1,16,-972,0,0
150,156,1,16,-816,0,0
151,157,1,16,-983,0,0
152,158,1,16,-854,6,0
153,159,1,16,-961,0,0
153,160,2,10,-36506,170,161
154,161,1,16,-915,0,0
155,162,1,16,-1032,0,0
155,163,2,10,-2119,166,155
156,164,1,16,-869,7,0
157,165,1,16,-909,0,0
158,166,1,16,-847,0,0
159,167,1,16,-897,0,0
160,168,1,16,-909,18,0
161,169,1,16,-904,0,0
162,170,1,16,-944,0,0
163,171,1,16,-904,0,0
164,172,1,16,-1038,22,0
165,173,1,16,-850,0,0
166,174,1,16,-992,0,0
167,175,1,16,-926,0,0
168,176,1,16,-840,12,0
169,177,1,16,-956,2,0
170,178,1,16,-835,0,0
171,179,1,16,-1029,0,0
172,180,1,16,-1053,3,0
173,181,1,16,-1088,5,0
174,182,1,16,-968,0,0
175,183,1,16,-987,0,0
176,184,1,16,-866,2,0
177,185,1,16,-927,16,0
178,186,1,16,-1107,0,0
179,187,1,16,-793,0,0
179,188,2,10,-32541,159,156
180,189,1,16,-987,0,0
181,190,1,16,-936,8,0
182,191,1,16,-938,1,0
183,192,1,16,-926,9,0
183,193,2,11,-13590,181,171
183,194,3,10,-60419,184,155
184,195,1,16,-838,0,0
186,196,1,16,-867,6,0
187,197,1,16,-925,0,0
188,198,1,16,-1005,0,0
189,199,1,16,-873,10,0
190,200,1,16,-786,7,0
191,201,1,16,-939,0,0
192,202,1,16,-967,0,0
193,203,1,16,-865,0,0
194,204,1,16,-973,1,0
195,205,1,16,-901,0,0
196,206,1,16,-862,0,0
197,207,1,16,-912,0,0
