Runde,Pakete_erwartet,Pakete_erkannt,Praeambel_Score,Drift_Mittel_Hz,LDPC_Summe,Bitfehler_Summe
1,1,0,6,,0,0
2,1,0,6,,0,0
3,1,1,11,41451,163,153
4,1,1,11,-20207,169,128
5,1,0,9,,0,0
6,1,0,7,,0,0
7,1,0,9,,0,0
8,1,0,7,,0,0
9,1,1,14,-4472,187,118
10,1,1,16,-678,44,0
11,1,1,16,-1074,12,0
12,1,1,16,-852,4,0
13,1,1,16,-752,120,8
14,1,1,16,-994,35,0
15,1,1,16,-707,157,12
16,1,1,16,-1075,162,15
17,1,1,16,-952,174,25
18,1,1,16,-769,52,0
19,1,1,16,-1143,181,57
20,1,1,16,-667,164,66
21,1,1,16,14575,173,97
22,1,1,16,-754,130,19
23,1,1,16,-707,191,56
24,1,1,16,-608,70,4
25,1,1,16,-970,26,0
26,1,1,16,-1090,12,0
27,1,1,16,-702,48,0
28,1,1,16,-569,26,0
29,1,1,16,-1015,30,0
30,1,1,16,-958,48,0
31,1,1,16,-848,37,0
32,1,1,16,-1292,43,0
33,1,1,16,-1030,45,0
34,1,1,16,-4798,171,54
35,1,1,16,-890,25,0
36,1,1,16,-945,25,0
37,1,1,16,-906,45,0
38,1,1,16,-863,18,0
39,1,1,16,-918,22,0
40,1,1,16,-885,27,0
41,1,1,16,-614,42,0
42,1,2,16,4682,174,158
43,1,1,16,-862,16,0
44,1,1,16,-1036,46,0
45,1,1,16,-956,74,4
46,1,1,16,-1133,31,0
47,1,1,16,-737,39,0
48,1,1,16,-796,76,5
49,1,1,16,-1128,47,2
50,1,1,16,13435,161,66
51,1,1,16,-1000,81,4
52,1,1,16,-1069,28,0
53,1,1,16,-867,35,0
54,1,1,16,-1009,44,0
55,1,1,16,-611,66,4
56,1,1,16,-933,45,0
57,1,1,16,-732,28,0
58,1,1,16,-505,123,13
59,1,1,16,-774,35,0
60,1,1,16,-883,46,0
61,1,1,16,-817,32,0
62,1,1,16,-670,51,8
63,1,1,16,-700,160,25
64,1,1,16,-866,39,0
65,1,1,16,-848,97,9
66,1,1,16,-878,51,0
67,1,1,16,-747,18,0
68,1,1,16,-1025,73,9
69,1,1,16,-1028,162,42
70,1,1,16,-660,15,0
71,1,1,16,-997,30,0
72,1,1,16,-796,34,0
73,1,1,16,-1022,91,11
74,1,1,16,-870,46,0
75,1,1,16,-669,37,0
76,1,1,16,-840,81,4
77,1,1,13,-12343,181,88
78,1,1,14,14536,168,116
79,1,1,16,-1030,182,42
80,1,0,7,,0,0
81,1,1,16,-1129,162,19
82,1,1,16,-579,78,12
83,1,1,16,-912,161,38
84,1,1,16,-815,184,24
85,1,1,16,-16349,180,78
86,1,1,15,9405,195,100
87,1,1,11,57111,205,140
88,1,1,16,-760,15,0
89,1,1,16,-472,182,28
90,1,1,16,1325,178,71
91,1,1,16,9132,216,92
92,1,1,11,37173,154,165
93,1,0,5,,0,0
94,1,0,5,,0,0
95,1,1,12,8849,152,120
96,1,1,16,-938,153,48
97,1,1,16,-832,50,0
98,1,1,16,-638,25,0
99,1,1,14,-13129,157,110
100,1,1,13,39156,167,161
101,1,0,9,,0,0
102,1,0,5,,0,0
103,1,0,8,,0,0
104,1,1,10,-20713,160,140
105,1,0,5,,0,0
106,1,1,11,-36509,172,154
107,1,0,8,,0,0
108,1,1,11,18860,153,154
109,1,1,10,-36490,188,121
110,1,1,11,25048,173,119
111,1,0,8,,0,0
