Runde,Pakete_erwartet,Pakete_erkannt,Praeambel_Score,Drift_Mittel_Hz,LDPC_Summe,Bitfehler_Summe
1,1,1,16,-956,39,0
2,1,1,16,-663,8,0
3,1,1,16,-629,41,0
4,1,1,16,-805,0,0
5,1,1,16,-1076,3,0
6,1,1,16,-782,14,0
7,1,1,16,-852,17,0
8,1,1,16,-895,21,0
9,1,1,16,-870,4,0
10,1,1,16,-861,10,0
11,1,1,16,-954,0,0
12,1,1,16,-1036,23,0
13,1,1,16,-887,31,0
14,1,1,16,-863,5,0
15,1,1,16,-834,14,0
16,1,1,16,-776,29,0
17,1,1,16,-789,8,0
18,1,1,16,-862,0,0
19,1,1,14,-14485,151,100
20,1,1,16,649,174,59
21,1,1,16,-991,0,0
22,1,1,16,-752,0,0
23,1,1,16,-926,24,0
24,1,1,16,-847,14,0
25,1,1,16,-1334,23,0
26,1,1,16,-559,119,19
27,1,1,16,-943,31,0
28,1,1,16,-846,16,0
29,1,1,16,-801,28,0
30,1,1,16,-671,34,0
31,1,1,16,-876,41,0
32,1,1,16,-969,15,0
33,1,1,16,-740,23,0
34,1,1,16,-654,7,0
35,1,1,16,-1048,12,0
36,1,1,16,-944,45,0
37,1,1,16,-730,17,0
38,1,1,16,-919,19,0
39,1,1,16,-886,38,0
40,1,1,16,-862,6,0
41,1,1,16,-784,9,0
42,1,1,16,-966,11,0
43,1,1,16,-925,12,0
44,1,1,16,-862,5,0
45,1,1,16,-812,3,0
46,1,1,16,-820,12,0
47,1,1,16,-963,5,0
48,1,1,16,-796,0,0
49,1,1,16,-808,10,0
50,1,1,16,-765,2,0
51,1,1,16,-824,3,0
52,1,1,16,-675,18,0
53,1,1,16,-858,20,0
54,1,1,16,-1384,37,0
55,1,1,16,-644,164,44
56,1,1,16,-912,190,52
57,1,1,16,-612,38,0
58,1,1,16,-962,88,4
59,1,1,16,-911,91,15
60,1,1,10,-39066,179,140
61,1,1,16,-1090,31,0
62,1,1,16,-2724,101,14
63,1,1,16,-464,44,3
64,1,1,16,-800,22,0
65,1,1,16,-1072,146,23
66,1,1,16,-1042,42,0
67,1,1,14,18920,175,115
68,1,1,16,-11314,177,92
69,1,1,15,-18444,169,103
70,1,1,16,-828,172,38
71,1,1,16,-1006,146,14
72,1,1,16,-729,187,18
73,1,1,16,-809,135,8
74,1,1,16,-994,8,0
75,1,1,16,-759,13,0
76,1,1,16,-821,18,0
77,1,1,16,-789,9,0
78,1,1,16,-870,4,0
79,1,1,16,-802,23,0
80,1,1,16,-674,21,0
81,1,1,16,-722,10,0
82,1,1,16,-722,13,0
83,1,1,16,-1055,38,0
84,1,1,16,-782,5,0
85,1,1,16,-952,34,0
86,1,1,16,-994,36,0
87,1,1,16,-785,35,0
88,1,1,16,-923,16,0
89,1,1,16,-1012,17,0
90,1,1,16,-669,36,0
91,1,1,16,-740,7,0
92,1,1,16,-870,6,0
93,1,1,16,-878,13,0
94,1,1,16,-961,7,0
95,1,1,16,-758,12,0
96,1,1,16,-905,24,0
97,1,1,16,-1020,21,0
98,1,1,16,-804,4,0
99,1,1,16,-834,13,0
100,1,1,16,-959,6,0
