Runde,Paket_global,Paket_in_Runde,Praeambel_Score,Drift_Hz,LDPC_korrigiert,Bitfehler
2,1,1,16,655,176,40
3,2,1,16,4685,164,107
4,3,1,16,650,154,51
5,4,1,16,6641,166,75
6,5,1,16,729,183,27
7,6,1,15,-2696,178,79
8,7,1,15,-2935,171,64
9,8,1,16,848,168,48
10,9,1,16,835,140,17
11,10,1,15,10590,189,89
12,11,1,16,-18358,172,111
13,12,1,16,6791,159,93
14,13,1,16,6689,157,72
15,14,1,15,14492,153,80
16,15,1,16,360,167,40
17,16,1,16,768,133,20
18,17,1,16,-18418,170,109
19,18,1,16,699,123,9
20,19,1,15,13071,166,104
21,20,1,16,1124,154,31
22,21,1,16,-6956,171,78
23,22,1,13,-10508,169,125
24,23,1,13,17381,131,127
25,24,1,15,841,178,65
26,25,1,12,24424,185,119
27,26,1,13,-20148,187,130
28,27,1,12,25741,153,117
29,28,1,11,8956,158,156
30,29,1,10,23146,177,162
31,30,1,16,-6918,160,136
32,31,1,16,25540,160,106
33,32,1,16,19847,160,138
34,33,1,14,34087,184,119
35,34,1,13,-8940,150,142
36,35,1,15,26284,152,140
37,36,1,16,1199,167,94
38,37,1,14,6569,160,90
39,38,1,14,3147,160,135
40,39,1,15,-55886,159,157
41,40,1,14,-24248,186,120
42,41,1,16,33156,159,114
43,42,1,14,679,164,83
44,43,1,15,1038,191,74
45,44,1,14,-14989,190,158
46,45,1,12,15688,164,103
48,46,1,15,-8006,160,93
49,47,1,14,-17771,154,109
50,48,1,16,24757,180,139
51,49,1,15,-4171,188,94
52,50,1,10,-73082,169,169
54,51,1,14,-14747,162,120
55,52,1,13,-31887,191,118
60,53,1,11,-14981,162,142
62,54,1,10,6798,154,152
68,55,1,10,8961,149,167
72,56,1,11,35577,172,158
90,57,1,10,-23731,142,160
103,58,1,11,-30527,157,153
114,59,1,12,-537,170,93
115,60,1,14,592,158,74
116,61,1,16,518,176,133
117,62,1,10,44933,149,135
119,63,1,13,18108,158,149
120,64,1,15,-9228,188,113
121,65,1,10,35675,172,133
125,66,1,13,-11242,160,130
138,67,1,11,6945,182,139
139,68,1,11,-9041,169,136
141,69,1,13,29663,165,151
142,70,1,13,-14880,149,124
143,71,1,14,-68885,154,159
144,72,1,11,14745,175,125
148,73,1,13,-7183,162,152
149,74,1,12,-22744,179,142
150,75,1,11,48578,175,168
151,76,1,15,-7274,165,135
152,77,1,11,658,152,142
153,78,1,11,14013,196,155
154,79,1,11,-55324,160,159
158,80,1,16,3335,145,39
165,81,1,14,30526,162,125
167,82,1,12,20366,167,148
169,83,1,11,-50094,171,167
172,84,1,10,-49110,173,153
179,85,1,13,-69483,167,162
180,86,1,10,14562,184,143
181,87,1,15,672,160,17
182,88,1,16,668,197,20
183,89,1,16,-8704,174,93
184,90,1,15,20138,217,116
185,91,1,16,843,191,61
186,92,1,13,2696,179,87
187,93,1,13,33296,174,133
188,94,1,14,4662,178,153
196,95,1,10,-22690,182,151
