Runde,Paket_global,Paket_in_Runde,Praeambel_Score,Drift_Hz,LDPC_korrigiert,Bitfehler
1,1,1,16,-875,0,0
2,2,1,16,-881,31,0
3,3,1,16,-1019,38,0
4,4,1,16,-886,0,0
5,5,1,16,-984,0,0
6,6,1,16,-863,2,0
7,7,1,16,-902,2,0
8,8,1,16,-887,0,0
9,9,1,16,-842,0,0
10,10,1,16,-836,11,0
11,11,1,16,-824,0,0
12,12,1,16,-888,0,0
13,13,1,16,-973,10,0
14,14,1,16,-830,0,0
15,15,1,16,-895,0,0
16,16,1,16,-804,0,0
17,17,1,16,-832,5,0
18,18,1,16,-830,0,0
19,19,1,16,-866,0,0
20,20,1,16,-902,24,0
21,21,1,16,-919,5,0
22,22,1,16,-875,0,0
23,23,1,16,-811,0,0
24,24,1,16,-841,9,0
25,25,1,16,-914,0,0
26,26,1,16,-827,0,0
27,27,1,16,-968,18,0
28,28,1,16,-842,0,0
29,29,1,16,-827,0,0
30,30,1,16,-638,40,0
31,31,1,16,-724,164,58
32,32,1,16,-886,10,0
33,33,1,16,-962,10,0
34,34,1,16,-957,44,0
35,35,1,16,-782,11,0
36,36,1,16,-712,25,0
37,37,1,16,-1014,9,0
38,38,1,16,-806,30,0
39,39,1,16,-958,0,0
40,40,1,16,-881,8,0
41,41,1,16,-820,36,0
42,42,1,16,-1027,0,0
43,43,1,16,-813,0,0
44,44,1,16,-812,11,0
45,45,1,16,-897,6,0
46,46,1,16,-1050,5,0
47,47,1,16,-992,0,0
48,48,1,16,-864,21,0
49,49,1,16,-930,12,0
50,50,1,16,-1121,7,0
52,51,1,16,-857,0,0
53,52,1,16,-814,4,0
54,53,1,16,-873,4,0
55,54,1,16,-854,17,0
56,55,1,16,-962,7,0
57,56,1,16,-761,21,0
58,57,1,16,-934,22,0
59,58,1,16,-687,0,0
60,59,1,16,-718,39,0
61,60,1,16,-637,39,0
62,61,1,16,-680,170,22
63,62,1,16,-894,8,0
64,63,1,16,-941,71,3
65,64,1,16,-788,33,1
66,65,1,16,-893,32,0
67,66,1,16,-1131,11,0
68,67,1,16,-1002,27,0
69,68,1,16,-871,22,0
70,69,1,16,-786,5,0
71,70,1,16,-972,18,0
72,71,1,16,-845,30,0
73,72,1,16,-765,3,0
74,73,1,16,-820,3,0
75,74,1,16,-751,29,0
76,75,1,16,-893,9,0
77,76,1,16,-954,4,0
78,77,1,15,737,205,36
79,78,1,16,-808,9,0
80,79,1,16,-871,23,0
81,80,1,16,-591,175,37
82,81,1,16,-9226,174,142
83,82,1,16,-766,18,0
84,83,1,16,-818,3,0
85,84,1,16,-984,30,0
86,85,1,16,-976,24,0
87,86,1,16,-863,0,0
88,87,1,16,-822,14,0
89,88,1,16,-955,8,0
90,89,1,16,-1001,3,0
91,90,1,16,-870,0,0
92,91,1,16,-926,29,0
93,92,1,16,-910,0,0
94,93,1,16,-857,0,0
95,94,1,16,-987,20,0
96,95,1,16,-975,0,0
97,96,1,16,-774,13,0
98,97,1,16,-911,17,0
99,98,1,16,-927,7,0
100,99,1,16,-917,17,0
101,100,1,16,-1033,11,0
102,101,1,16,-870,29,6
103,102,1,16,-972,3,0
104,103,1,16,-944,0,0
105,104,1,16,-675,30,0
106,105,1,16,-1054,6,0
107,106,1,16,-862,5,0
108,107,1,16,-990,28,0
109,108,1,16,-891,19,0
110,109,1,16,-944,16,0
111,110,1,16,-873,23,0
112,111,1,16,-715,54,2
113,112,1,16,-789,54,0
114,113,1,16,-601,21,0
115,114,1,16,-848,31,0
116,115,1,16,-774,24,0
117,116,1,16,-633,4,0
118,117,1,16,-683,4,0
119,118,1,16,-895,6,0
120,119,1,16,-866,5,0
121,120,1,16,-922,0,0
122,121,1,16,-1007,34,0
123,122,1,16,-1002,0,0
124,123,1,16,-819,9,0
125,124,1,16,-920,28,0
126,125,1,16,-800,6,0
127,126,1,16,-795,3,0
128,127,1,16,-896,26,0
129,128,1,16,-868,11,0
130,129,1,16,-961,3,0
131,130,1,16,-983,10,0
132,131,1,16,-1078,19,0
133,132,1,16,-712,17,0
134,133,1,16,-988,16,0
135,134,1,16,-1025,23,0
136,135,1,16,-858,9,0
137,136,1,16,-895,0,0
138,137,1,16,-720,45,0
139,138,1,16,-846,12,0
140,139,1,16,-696,12,0
141,140,1,16,-767,25,0
142,141,1,16,-896,12,0
143,142,1,16,-912,4,0
144,143,1,16,-873,14,0
145,144,1,16,-896,13,0
146,145,1,16,-863,0,0
147,146,1,16,-747,23,0
148,147,1,16,-831,12,0
149,148,1,16,-904,25,0
150,149,1,16,-928,24,0
151,150,1,16,-980,9,0
152,151,1,16,-825,9,0
153,152,1,16,-1010,7,0
154,153,1,16,-848,25,0
155,154,1,16,-942,33,0
156,155,1,16,-794,12,0
157,156,1,16,-874,48,0
158,157,1,16,-1046,63,4
159,158,1,16,-796,40,0
160,159,1,16,-681,26,0
161,160,1,16,-778,9,0
162,161,1,16,-834,3,0
163,162,1,16,-1015,21,0
164,163,1,16,-825,33,0
165,164,1,16,-948,21,0
166,165,1,16,-888,6,0
167,166,1,16,-794,19,0
168,167,1,16,-900,0,0
169,168,1,16,-905,0,0
170,169,1,16,-802,19,0
171,170,1,16,-815,13,0
172,171,1,16,-791,0,0
173,172,1,16,-792,20,0
174,173,1,16,-736,0,0
175,174,1,16,-863,0,0
176,175,1,16,-788,14,0
177,176,1,16,-855,0,0
178,177,1,16,-889,0,0
179,178,1,16,-763,4,0
180,179,1,16,-812,0,0
181,180,1,16,-742,0,0
182,181,1,16,-856,5,0
183,182,1,16,-806,0,0
184,183,1,16,-854,0,0
185,184,1,16,-712,2,0
186,185,1,16,-870,8,0
187,186,1,16,-705,11,0
188,187,1,16,-725,2,0
189,188,1,16,-1021,0,0
190,189,1,16,-884,0,0
191,190,1,16,-844,10,0
192,191,1,16,-713,0,0
193,192,1,16,-800,3,0
194,193,1,16,-718,19,0
195,194,1,16,-806,3,0
196,195,1,16,-804,0,0
197,196,1,16,-789,0,0
198,197,1,16,-889,1,0
199,198,1,16,-712,0,0
200,199,1,16,-878,0,0
