Runde,Paket_global,Paket_in_Runde,Praeambel_Score,Drift_Hz,LDPC_korrigiert,Bitfehler
1,1,1,16,-893,0,0
3,2,1,16,-769,0,0
4,3,1,16,-872,0,0
5,4,1,16,-840,1,0
6,5,1,16,-777,9,0
7,6,1,16,-864,0,0
8,7,1,16,-836,0,0
9,8,1,16,-819,12,0
10,9,1,16,-807,0,0
11,10,1,16,-882,0,0
12,11,1,16,-925,19,0
13,12,1,16,-823,0,0
14,13,1,16,-841,0,0
16,14,1,16,-813,0,0
17,15,1,16,-865,0,0
18,16,1,16,-818,0,0
19,17,1,16,-941,0,0
20,18,1,16,-901,0,0
21,19,1,16,-906,0,0
22,20,1,16,-835,19,0
23,21,1,16,-903,0,0
24,22,1,16,-911,0,0
25,23,1,16,-826,18,0
26,24,1,16,-794,0,0
27,25,1,16,-921,0,0
28,26,1,16,-868,0,0
29,27,1,16,-833,3,0
30,28,1,16,-887,0,0
31,29,1,16,-829,0,0
32,30,1,16,-806,24,0
33,31,1,16,-883,4,0
34,32,1,16,-814,0,0
35,33,1,16,-1070,8,0
36,34,1,16,-887,0,0
37,35,1,16,-870,0,0
38,36,1,16,-892,0,0
39,37,1,16,-926,0,0
40,38,1,16,-803,0,0
41,39,1,16,-899,0,0
42,40,1,16,-871,3,0
43,41,1,16,-821,0,0
44,42,1,16,-802,0,0
45,43,1,16,-944,5,0
46,44,1,16,-821,0,0
47,45,1,16,-877,0,0
48,46,1,16,-929,15,0
49,47,1,16,-899,0,0
50,48,1,16,-912,0,0
51,49,1,16,-861,4,0
52,50,1,16,-847,0,0
53,51,1,16,-748,0,0
54,52,1,16,-859,3,0
55,53,1,16,-807,5,0
56,54,1,16,-783,26,0
58,55,1,11,-12153,159,126
59,56,1,15,51470,175,146
60,57,1,16,-967,22,0
61,58,1,16,-837,1,0
62,59,1,16,-901,0,0
63,60,1,16,-853,0,0
64,61,1,16,-765,3,0
65,62,1,16,-845,0,0
67,63,1,16,-826,17,0
68,64,1,16,-895,0,0
69,65,1,16,-824,0,0
70,66,1,16,-841,26,0
71,67,1,16,-849,0,0
72,68,1,16,-777,0,0
73,69,1,16,-856,11,0
74,70,1,16,-886,0,0
76,71,1,16,-840,3,0
77,72,1,16,-841,0,0
78,73,1,16,-918,0,0
79,74,1,16,-889,0,0
80,75,1,16,-855,17,0
81,76,1,16,-719,33,0
82,77,1,16,-855,7,0
83,78,1,16,-859,19,0
84,79,1,16,-960,21,0
85,80,1,16,-859,0,0
86,81,1,16,-879,28,0
87,82,1,16,-706,5,0
88,83,1,16,-810,9,0
89,84,1,16,-640,33,0
90,85,1,16,-911,0,0
91,86,1,16,-841,0,0
92,87,1,16,-856,12,0
93,88,1,16,-902,0,0
94,89,1,16,-800,0,0
95,90,1,16,-844,0,0
96,91,1,16,-841,2,0
97,92,1,16,-912,0,0
98,93,1,16,-870,0,0
98,94,2,10,-21476,153,172
99,95,1,16,-846,9,0
100,96,1,16,-781,0,0
101,97,1,16,-851,0,0
102,98,1,16,-841,4,0
103,99,1,16,-839,0,0
104,100,1,16,-853,0,0
105,101,1,16,-731,18,0
106,102,1,16,-958,0,0
107,103,1,16,-878,0,0
108,104,1,16,-756,15,0
109,105,1,16,-838,0,0
110,106,1,16,-763,0,0
111,107,1,16,-831,19,0
112,108,1,16,-747,0,0
113,109,1,16,-799,0,0
114,110,1,16,-813,18,0
115,111,1,16,-849,0,0
116,112,1,16,-839,0,0
117,113,1,16,-840,6,0
118,114,1,16,-810,0,0
119,115,1,16,-882,0,0
120,116,1,16,-794,1,0
121,117,1,16,-739,0,0
122,118,1,16,-803,0,0
123,119,1,16,-725,6,0
124,120,1,16,-801,0,0
125,121,1,16,-806,0,0
126,122,1,16,-825,0,0
127,123,1,16,-827,0,0
128,124,1,16,-960,0,0
129,125,1,16,-889,2,0
130,126,1,16,-653,12,0
131,127,1,16,-804,0,0
132,128,1,16,-829,0,0
133,129,1,16,-742,18,0
134,130,1,16,-848,0,0
135,131,1,16,-912,4,0
136,132,1,16,-823,9,0
137,133,1,16,-992,0,0
138,134,1,16,-855,4,0
139,135,1,16,-825,15,0
140,136,1,16,-788,10,0
141,137,1,16,-807,4,0
142,138,1,16,-888,21,0
143,139,1,16,-855,0,0
144,140,1,16,-842,0,0
145,141,1,16,-773,6,0
146,142,1,16,-869,0,0
146,143,2,10,34288,148,162
147,144,1,16,-883,0,0
149,145,1,16,-701,0,0
150,146,1,16,-742,0,0
151,147,1,16,-806,3,0
152,148,1,16,-745,0,0
153,149,1,16,-805,0,0
154,150,1,16,-876,20,0
155,151,1,16,-869,0,0
156,152,1,16,-797,0,0
157,153,1,16,-914,22,0
158,154,1,16,-806,0,0
159,155,1,16,-768,0,0
160,156,1,16,-869,28,0
161,157,1,16,-864,12,0
162,158,1,16,-727,0,0
163,159,1,16,-761,10,0
164,160,1,16,-949,0,0
165,161,1,16,-730,11,0
166,162,1,16,-820,13,0
167,163,1,16,-777,5,0
168,164,1,16,-684,8,0
