Runde,Pakete_erwartet,Pakete_erkannt,Praeambel_Score,Drift_Mittel_Hz,LDPC_Summe,Bitfehler_Summe
1,1,2,16,1844,170,155
2,1,1,16,-1088,0,0
3,1,1,16,-913,5,0
4,1,1,16,-1021,0,0
5,1,1,16,-1004,28,0
6,1,1,16,-1149,2,0
7,1,1,16,-1064,0,0
8,1,1,16,-876,0,0
9,1,1,16,-1066,2,0
10,1,1,16,-942,27,0
11,1,1,16,-967,5,0
12,1,1,16,-871,9,0
13,1,1,16,-888,0,0
14,1,1,16,-933,15,0
15,1,1,16,-1047,170,67
16,1,1,16,-8706,178,83
17,1,1,16,-898,179,46
18,1,1,16,-5023,167,54
19,1,1,16,-1140,49,0
20,1,1,16,-789,25,0
21,1,1,16,-911,16,0
22,1,1,16,-887,5,0
23,1,1,16,-715,28,0
24,1,1,16,-1190,51,0
25,1,1,16,-1007,3,0
26,1,1,16,-1064,12,0
27,1,1,16,-1076,11,0
28,1,1,16,-1030,8,0
29,1,1,16,-709,19,0
30,1,1,16,-999,0,0
31,1,1,16,-1060,0,0
32,1,1,16,-979,0,0
33,1,1,16,-1012,21,0
34,1,1,16,-1126,0,0
35,1,1,16,-1082,0,0
36,1,1,16,-898,0,0
37,1,1,16,-869,4,0
38,1,1,16,-864,18,0
39,1,1,16,-884,0,0
40,1,1,16,-966,0,0
41,1,2,16,3996,180,150
42,1,1,16,-800,19,0
43,1,1,16,-937,3,0
44,1,1,16,-882,0,0
45,1,1,16,-967,4,0
46,1,1,16,-929,0,0
47,1,1,16,-1011,18,0
48,1,1,16,-866,0,0
49,1,1,16,-967,0,0
50,1,1,16,-880,0,0
51,1,1,16,-870,8,0
52,1,1,16,-948,14,0
53,1,1,16,-1018,7,0
54,1,1,16,-974,0,0
55,1,1,16,-1038,8,0
56,1,1,16,-1089,6,0
57,1,1,16,-1000,16,0
58,1,1,16,-1001,0,0
59,1,1,16,-879,0,0
60,1,1,16,-929,0,0
61,1,1,16,-976,16,0
62,1,1,16,-939,4,0
63,1,1,16,-1093,0,0
64,1,1,16,-1066,0,0
65,1,1,16,-900,6,0
66,1,1,16,-774,20,0
67,1,1,16,-943,0,0
68,1,1,16,-940,11,0
69,1,1,16,-935,5,0
70,1,1,16,-853,29,0
71,1,1,16,-910,9,0
72,1,1,16,-1015,14,0
73,1,1,16,-904,4,0
74,1,1,16,-1070,0,0
75,1,2,16,-9108,198,178
76,1,1,16,-1045,0,0
77,1,1,16,-978,0,0
78,1,2,16,22185,178,159
79,1,0,9,,0,0
80,1,1,16,-772,2,0
81,1,1,16,-1000,0,0
82,1,2,16,13810,175,145
83,1,1,16,-1056,3,0
84,1,1,16,-1040,18,0
85,1,1,16,-927,9,0
86,1,1,16,-1095,9,0
87,1,1,16,-892,0,0
88,1,1,16,-834,0,0
89,1,1,16,-873,38,0
90,1,1,16,-1104,0,0
91,1,2,16,-13306,180,168
92,1,1,16,-1036,0,0
93,1,1,16,-1105,4,0
94,1,1,16,-853,11,0
95,1,1,16,-1046,0,0
96,1,1,16,-953,0,0
97,1,1,16,-925,0,0
98,1,1,16,-888,27,0
99,1,1,16,-903,5,0
100,1,1,16,-1022,0,0
101,1,1,16,-1135,0,0
102,1,1,16,-943,4,0
103,1,1,16,-1084,26,0
104,1,1,16,-986,0,0
105,1,1,16,-960,0,0
106,1,2,16,19050,186,174
107,1,1,16,-844,12,0
108,1,1,16,-827,2,0
109,1,2,16,15469,176,141
110,1,1,16,-923,0,0
111,1,1,16,-941,0,0
112,1,1,16,-1051,22,0
113,1,1,16,-882,7,0
114,1,2,16,1564,170,164
115,1,1,16,-928,0,0
116,1,1,16,-991,13,0
117,1,1,16,-979,0,0
118,1,2,16,-24418,166,159
119,1,1,16,-814,0,0
120,1,1,16,-1047,4,0
121,1,1,16,-928,15,0
122,1,1,16,-947,0,0
123,1,1,16,-956,0,0
124,1,1,16,-979,0,0
125,1,1,16,-1041,0,0
126,1,1,16,-996,15,0
127,1,1,16,-890,0,0
128,1,1,16,-885,0,0
129,1,1,16,-1060,0,0
130,1,1,16,-1011,32,0
131,1,1,16,-1063,0,0
132,1,1,16,-952,0,0
133,1,1,16,-916,0,0
134,1,1,16,-1035,0,0
135,1,1,16,-1004,17,0
136,1,1,16,-1043,0,0
137,1,1,16,-954,0,0
138,1,1,16,-859,0,0
139,1,2,16,2560,190,157
140,1,1,16,-801,3,0
141,1,1,16,-845,0,0
142,1,1,16,-1041,0,0
143,1,1,16,-1002,5,0
144,1,1,16,-828,20,0
145,1,2,16,-23422,173,151
146,1,1,16,-968,0,0
147,1,1,16,-1017,7,0
148,1,1,16,-1012,11,0
149,1,1,16,-878,10,0
150,1,1,16,-932,0,0
151,1,1,16,-1117,4,0
152,1,1,16,-931,16,0
153,1,1,16,-883,27,0
154,1,1,16,-787,0,0
155,1,2,16,-19278,166,154
156,1,1,16,-922,0,0
157,1,1,16,-1016,0,0
158,1,1,16,-1038,23,0
159,1,1,16,-1055,0,0
160,1,1,16,-962,0,0
161,1,1,16,-1010,0,0
162,1,1,16,-943,2,0
163,1,2,16,22068,168,164
164,1,1,16,-968,0,0
165,1,2,16,4425,172,160
166,1,1,16,-896,0,0
167,1,1,16,-916,22,0
168,1,1,16,-964,0,0
169,1,1,16,-901,9,0
170,1,1,16,-1032,0,0
171,1,1,16,-990,1,0
172,1,1,16,-933,27,0
173,1,1,16,-1001,7,0
174,1,1,16,-954,0,0
175,1,1,16,-929,0,0
176,1,1,16,-963,0,0
177,1,1,16,-874,17,0
178,1,1,16,-952,0,0
179,1,1,16,-849,0,0
180,1,1,16,-911,0,0
181,1,1,16,-852,10,0
182,1,2,16,23622,178,169
183,1,1,16,-887,5,0
184,1,1,16,-926,0,0
185,1,1,16,-946,0,0
186,1,2,16,22973,188,0
187,1,1,16,-809,3,0
188,1,2,16,5650,179,0
189,1,1,16,-891,0,0
190,1,1,16,-896,7,0
191,1,1,16,-1117,23,0
192,1,1,16,-975,0,0
193,1,1,16,-937,0,0
194,1,1,16,-940,0,0
195,1,1,16,-1010,0,0
196,1,1,16,-955,14,0
197,1,1,16,-978,0,0
198,1,1,16,-1045,0,0
199,1,0,7,,0,0
200,1,0,7,,0,0
