Runde,Paket_global,Paket_in_Runde,Praeambel_Score,Drift_Hz,LDPC_korrigiert,Bitfehler
1,1,1,15,-2848,182,103
2,2,1,15,776,140,137
3,3,1,16,-768,168,35
4,4,1,16,-1007,12,0
5,5,1,16,-796,0,0
6,6,1,16,-942,22,0
7,7,1,16,-1061,15,0
8,8,1,16,-908,7,0
9,9,1,16,-916,14,0
10,10,1,16,-1123,22,0
11,11,1,16,-859,0,0
12,12,1,16,-847,0,0
13,13,1,16,-819,7,0
14,14,1,16,-821,1,0
15,15,1,16,-856,0,0
16,16,1,16,-912,2,0
17,17,1,16,-923,6,0
18,18,1,16,-959,0,0
19,19,1,16,-881,0,0
20,20,1,16,-784,20,0
21,21,1,16,-896,39,0
23,22,1,16,-735,21,0
24,23,1,16,-690,0,0
25,24,1,16,-888,0,0
26,25,1,16,-679,1,0
27,26,1,16,-896,15,0
28,27,1,16,-911,0,0
29,28,1,16,-794,16,0
30,29,1,16,-986,25,0
31,30,1,16,-999,7,0
32,31,1,16,-942,0,0
33,32,1,16,-868,16,0
34,33,1,16,-819,0,0
35,34,1,16,-838,0,0
36,35,1,16,-935,0,0
37,36,1,16,-873,0,0
38,37,1,16,-908,0,0
39,38,1,16,-922,0,0
40,39,1,16,-797,0,0
41,40,1,16,-907,0,0
42,41,1,16,-862,0,0
43,42,1,16,-825,17,0
44,43,1,16,-755,0,0
45,44,1,16,-829,0,0
46,45,1,16,-857,19,0
47,46,1,16,-854,0,0
48,47,1,16,-797,0,0
49,48,1,16,-858,11,0
50,49,1,16,-823,0,0
51,50,1,16,-869,0,0
52,51,1,16,-988,3,0
53,52,1,16,-874,9,0
54,53,1,16,-869,0,0
55,54,1,16,-777,2,0
56,55,1,16,-697,16,0
57,56,1,16,-839,7,0
58,57,1,16,-845,13,0
59,58,1,16,-820,14,0
60,59,1,16,-868,0,0
61,60,1,16,-706,0,0
62,61,1,16,-845,21,0
63,62,1,16,-814,0,0
64,63,1,16,-785,0,0
65,64,1,16,-842,6,0
66,65,1,16,-815,9,0
67,66,1,16,-840,0,0
68,67,1,16,-884,2,0
69,68,1,16,-875,19,0
70,69,1,16,-829,0,0
71,70,1,16,-916,0,0
72,71,1,16,-833,26,0
73,72,1,16,-776,0,0
74,73,1,16,-795,0,0
75,74,1,16,-808,4,0
76,75,1,16,-925,0,0
77,76,1,16,-818,0,0
78,77,1,16,-883,0,0
79,78,1,16,-948,7,0
80,79,1,16,-898,0,0
81,80,1,16,-816,0,0
82,81,1,16,-915,16,0
83,82,1,16,-944,0,0
84,83,1,16,-801,0,0
85,84,1,16,-763,13,0
86,85,1,16,-800,0,0
87,86,1,16,-810,0,0
88,87,1,16,-921,0,0
90,88,1,16,-915,0,0
91,89,1,16,-879,0,0
92,90,1,16,-847,12,0
93,91,1,16,-873,0,0
94,92,1,16,-874,3,0
95,93,1,16,-875,31,0
96,94,1,16,-914,0,0
97,95,1,16,-944,0,0
98,96,1,16,-691,15,0
99,97,1,16,-887,0,0
100,98,1,16,-881,0,0
101,99,1,16,-876,4,0
102,100,1,16,-832,4,0
103,101,1,16,-864,0,0
104,102,1,16,-801,4,0
105,103,1,16,-775,47,0
106,104,1,16,-776,19,0
107,105,1,16,-763,7,0
108,106,1,16,-799,11,0
109,107,1,16,-805,0,0
110,108,1,16,-774,0,0
111,109,1,16,-799,0,0
112,110,1,16,-961,1,0
113,111,1,16,-948,9,0
114,112,1,16,-1013,17,0
115,113,1,16,-992,37,0
116,114,1,16,-1094,40,0
117,115,1,16,-703,39,4
118,116,1,16,-857,31,0
119,117,1,16,-893,9,0
120,118,1,16,-846,0,0
121,119,1,16,-885,11,0
122,120,1,16,-872,0,0
123,121,1,16,-852,0,0
124,122,1,16,-848,0,0
125,123,1,16,-787,0,0
126,124,1,16,-817,0,0
127,125,1,16,-828,0,0
128,126,1,16,-835,11,0
129,127,1,16,-651,26,0
130,128,1,15,-16491,192,73
131,129,1,16,-802,190,41
132,130,1,16,-920,0,0
133,131,1,16,-765,0,0
134,132,1,16,-920,22,0
135,133,1,16,-911,0,0
136,134,1,16,-817,0,0
137,135,1,16,-859,18,0
138,136,1,16,-853,0,0
139,137,1,16,-836,0,0
140,138,1,16,-864,0,0
141,139,1,16,-906,0,0
142,140,1,16,-752,0,0
143,141,1,16,-891,0,0
144,142,1,16,-827,5,0
145,143,1,16,-827,0,0
146,144,1,16,-843,0,0
147,145,1,16,-833,18,0
148,146,1,16,-778,0,0
149,147,1,16,-843,0,0
150,148,1,16,-801,22,0
151,149,1,16,-842,0,0
152,150,1,16,-773,0,0
153,151,1,16,-862,8,0
154,152,1,16,-887,7,0
155,153,1,16,-846,0,0
156,154,1,16,-775,38,0
157,155,1,16,-902,8,0
158,156,1,16,-782,0,0
159,157,1,16,-936,92,8
160,158,1,16,-788,12,0
161,159,1,16,-902,0,0
162,160,1,16,-745,0,0
163,161,1,16,-766,6,0
164,162,1,16,-894,0,0
165,163,1,16,-769,0,0
166,164,1,16,-930,12,0
167,165,1,16,-893,9,0
168,166,1,16,-788,0,0
169,167,1,16,-851,0,0
170,168,1,16,-921,13,0
171,169,1,16,-878,0,0
172,170,1,16,-847,0,0
173,171,1,16,-818,18,0
174,172,1,16,-803,0,0
175,173,1,16,-757,0,0
176,174,1,16,-856,5,0
177,175,1,16,-876,0,0
179,176,1,16,-911,2,0
180,177,1,16,-917,3,0
181,178,1,16,-786,0,0
182,179,1,16,-783,2,0
183,180,1,16,-920,29,0
184,181,1,16,-1038,4,0
185,182,1,16,-958,5,0
186,183,1,16,-898,6,0
187,184,1,16,-1043,9,0
188,185,1,16,-822,3,0
189,186,1,16,-732,16,0
190,187,1,16,-816,24,0
191,188,1,16,-779,14,0
192,189,1,16,-812,3,0
193,190,1,16,-929,12,0
194,191,1,16,-757,0,0
195,192,1,16,-814,0,0
196,193,1,16,-929,11,0
197,194,1,16,-986,9,0
198,195,1,16,-883,0,0
199,196,1,16,-845,0,0
