Runde,Paket_global,Paket_in_Runde,Praeambel_Score,Drift_Hz,LDPC_korrigiert,Bitfehler
1,1,1,16,-956,39,0
2,2,1,16,-663,8,0
3,3,1,16,-629,41,0
4,4,1,16,-805,0,0
5,5,1,16,-1076,3,0
6,6,1,16,-782,14,0
7,7,1,16,-852,17,0
8,8,1,16,-895,21,0
9,9,1,16,-870,4,0
10,10,1,16,-861,10,0
11,11,1,16,-954,0,0
12,12,1,16,-1036,23,0
13,13,1,16,-887,31,0
14,14,1,16,-863,5,0
15,15,1,16,-834,14,0
16,16,1,16,-776,29,0
17,17,1,16,-789,8,0
18,18,1,16,-862,0,0
19,19,1,14,-14485,151,100
20,20,1,16,649,174,59
21,21,1,16,-991,0,0
22,22,1,16,-752,0,0
23,23,1,16,-926,24,0
24,24,1,16,-847,14,0
25,25,1,16,-1334,23,0
26,26,1,16,-559,119,19
27,27,1,16,-943,31,0
28,28,1,16,-846,16,0
29,29,1,16,-801,28,0
30,30,1,16,-671,34,0
31,31,1,16,-876,41,0
32,32,1,16,-969,15,0
33,33,1,16,-740,23,0
34,34,1,16,-654,7,0
35,35,1,16,-1048,12,0
36,36,1,16,-944,45,0
37,37,1,16,-730,17,0
38,38,1,16,-919,19,0
39,39,1,16,-886,38,0
40,40,1,16,-862,6,0
41,41,1,16,-784,9,0
42,42,1,16,-966,11,0
43,43,1,16,-925,12,0
44,44,1,16,-862,5,0
45,45,1,16,-812,3,0
46,46,1,16,-820,12,0
47,47,1,16,-963,5,0
48,48,1,16,-796,0,0
49,49,1,16,-808,10,0
50,50,1,16,-765,2,0
51,51,1,16,-824,3,0
52,52,1,16,-675,18,0
53,53,1,16,-858,20,0
54,54,1,16,-1384,37,0
55,55,1,16,-644,164,44
56,56,1,16,-912,190,52
57,57,1,16,-612,38,0
58,58,1,16,-962,88,4
59,59,1,16,-911,91,15
60,60,1,10,-39066,179,140
61,61,1,16,-1090,31,0
62,62,1,16,-2724,101,14
63,63,1,16,-464,44,3
64,64,1,16,-800,22,0
65,65,1,16,-1072,146,23
66,66,1,16,-1042,42,0
67,67,1,14,18920,175,115
68,68,1,16,-11314,177,92
69,69,1,15,-18444,169,103
70,70,1,16,-828,172,38
71,71,1,16,-1006,146,14
72,72,1,16,-729,187,18
73,73,1,16,-809,135,8
74,74,1,16,-994,8,0
75,75,1,16,-759,13,0
76,76,1,16,-821,18,0
77,77,1,16,-789,9,0
78,78,1,16,-870,4,0
79,79,1,16,-802,23,0
80,80,1,16,-674,21,0
81,81,1,16,-722,10,0
82,82,1,16,-722,13,0
83,83,1,16,-1055,38,0
84,84,1,16,-782,5,0
85,85,1,16,-952,34,0
86,86,1,16,-994,36,0
87,87,1,16,-785,35,0
88,88,1,16,-923,16,0
89,89,1,16,-1012,17,0
90,90,1,16,-669,36,0
91,91,1,16,-740,7,0
92,92,1,16,-870,6,0
93,93,1,16,-878,13,0
94,94,1,16,-961,7,0
95,95,1,16,-758,12,0
96,96,1,16,-905,24,0
97,97,1,16,-1020,21,0
98,98,1,16,-804,4,0
99,99,1,16,-834,13,0
100,100,1,16,-959,6,0
101,101,1,16,-957,7,0
102,102,1,16,-850,26,0
103,103,1,16,-1130,45,0
104,104,1,16,-698,27,0
105,105,1,16,-988,12,0
106,106,1,16,-763,162,27
107,107,1,16,-27874,196,127
108,108,1,16,-885,28,0
109,109,1,16,-947,102,8
110,110,1,16,-612,35,0
111,111,1,16,-1047,35,0
112,112,1,15,18417,185,94
113,113,1,14,3194,191,114
114,114,1,16,-818,35,0
115,115,1,16,-844,13,0
116,116,1,16,-666,31,0
117,117,1,16,-776,39,0
118,118,1,16,-766,19,0
119,119,1,16,-932,2,0
120,120,1,16,-1023,2,0
121,121,1,16,-935,33,0
122,122,1,16,-767,14,0
123,123,1,16,-833,55,0
124,124,1,16,-899,20,0
125,125,1,16,-880,0,0
126,126,1,16,-1049,11,0
127,127,1,16,-1114,9,0
128,128,1,16,-1004,19,0
129,129,1,16,-938,5,0
130,130,1,15,-1242,170,58
132,131,1,11,-34007,174,154
133,132,1,13,-8489,164,145
134,133,1,16,-2703,34,0
135,134,1,16,-718,0,0
136,135,1,16,-846,19,0
137,136,1,16,-885,29,0
138,137,1,16,-900,8,0
139,138,1,16,-916,15,0
140,139,1,16,-844,30,0
141,140,1,16,-933,3,0
142,141,1,16,-961,3,0
143,142,1,16,-841,18,0
144,143,1,16,-731,4,0
145,144,1,15,-288,184,108
146,145,1,16,-851,3,0
147,146,1,16,-963,24,0
148,147,1,16,-1051,18,0
149,148,1,16,-813,3,0
150,149,1,16,-945,2,0
151,150,1,16,-852,9,0
152,151,1,16,-798,0,0
153,152,1,16,-874,0,0
154,153,1,16,-951,28,0
155,154,1,16,-944,3,0
156,155,1,11,13584,142,125
163,156,1,11,22207,173,143
164,157,1,11,68231,183,153
166,158,1,16,11316,185,87
167,159,1,16,7983,164,78
168,160,1,16,-1017,96,14
172,161,1,16,-11481,170,71
173,162,1,13,41513,176,143
175,163,1,16,-664,11,0
176,164,1,16,-9878,168,83
177,165,1,15,-28907,167,132
178,166,1,13,56008,190,152
181,167,1,11,-36122,162,176
183,168,1,10,20439,181,150
184,169,1,15,-421,167,99
185,170,1,15,-9386,168,89
186,171,1,14,-590,176,127
187,172,1,10,-10173,169,138
188,173,1,16,8599,151,101
189,174,1,16,-1098,179,40
190,175,1,16,-1169,60,0
192,176,1,16,-981,106,19
193,177,1,16,-703,197,24
194,178,1,15,-8965,163,137
195,179,1,10,6332,184,148
